split,region,distance,axis,y_true,mean,total_variance,pit,crps
random,in,0.000216,8.776818,0.18965842,0.18780421,6.379456317517906e-05,0.591789,0.00203752
random,in,0.000103,9.702623,0.18780463,0.19198145,5.3074254537932575e-05,0.283211,0.00263253
random,in,0.00024,7.964127,0.23937294,0.22931221,0.0002605165936984,0.733463,0.00619579
random,in,2.7e-05,8.935585,0.21079596,0.20223069,0.0002287716051796,0.714402,0.00541963
random,in,1.6e-05,9.264525,0.2907646,0.25853005,0.0007970605511218,0.873224,0.01987142
random,in,0.000417,11.815098,0.12639226,0.1380613,0.000316675461363,0.255998,0.00710646
random,in,0.000246,5.36415,0.16376404,0.16810465,0.0003041311574634,0.40172,0.00450428
random,in,0.000176,7.642404,0.19626619,0.20872638,0.0003755075449589,0.26011,0.00761913
random,in,8.3e-05,8.0101,0.2921611,0.28398812,0.0001318227878073,0.761719,0.00491089
random,in,1.1e-05,9.625861,0.18153592,0.19048649,0.0001995756756514,0.26318,0.00549103
random,in,4e-06,9.994785,0.35609357,0.36731827,0.0001424910733476,0.173524,0.00671555
random,in,0.000107,5.87258,0.24313189,0.24426854,0.0001744948676787,0.465715,0.00312602
random,in,0.000323,5.740738,0.3628858,0.35321182,0.0002709983673412,0.721618,0.00605198
random,in,2e-06,9.026045,0.22430254,0.22390632,4.408320819493383e-05,0.523793,0.00156105
random,in,4.5e-05,10.057314,0.3494153,0.34257016,0.0001866199309006,0.691841,0.0045329
random,in,1.9e-05,9.538641,0.38282728,0.38195834,0.0001184470456792,0.531818,0.00257104
random,in,7.5e-05,9.384444,0.21880345,0.2190768,4.172963963355869e-05,0.483124,0.00151425
random,in,5e-05,9.841756,0.35445468,0.35401675,4.850669574807398e-05,0.525068,0.00163859
random,in,7e-05,8.836028,0.24400111,0.24314193,4.584374983096495e-05,0.550488,0.00162574
random,in,4.3e-05,8.418891,0.34271578,0.33719811,0.0001078531640814,0.702394,0.00356974
random,in,1e-06,5.309645,0.21844262,0.23327327,0.0001883482327684,0.13993,0.00904442
random,in,1.5e-05,10.14042,0.18296267,0.18840545,6.923456385266036e-05,0.256516,0.00331629
random,in,0.000193,5.188318,0.19045548,0.18865758,0.0003414028615225,0.538758,0.00438774
random,in,6.6e-05,8.963037,0.26412975,0.26267201,0.0001284369791392,0.551174,0.00272317
random,in,2.2e-05,10.008964,0.19714877,0.19139239,5.7491146435495466e-05,0.77613,0.00343624
random,in,5.4e-05,8.627985,0.21879502,0.21741624,8.032494952203706e-05,0.561132,0.00217893
random,in,6.5e-05,8.680247,0.16209748,0.16181603,8.639604493509978e-05,0.512078,0.00217558
random,in,1e-06,7.798426,0.26292981,0.25725394,0.0001797090517356,0.663997,0.00407746
random,in,3e-06,9.04802,0.29290559,0.28075522,0.0002155275869881,0.796061,0.0072284
random,in,1.9e-05,5.336569,0.28344286,0.28003532,0.0001589601306477,0.606523,0.0033116
random,in,4e-05,9.607641,0.2056225,0.20705903,4.647515379474498e-05,0.416553,0.00171348
random,in,3.5e-05,5.179124,0.12434716,0.11900768,0.0002700283075682,0.627384,0.00452633
random,in,4.9e-05,8.189808,0.22441774,0.20058,0.0005064458819106,0.855257,0.01448658
random,in,4e-06,9.960402,0.23746053,0.23626375,3.642431693151593e-05,0.578594,0.00150478
random,in,3.3e-05,9.892405,0.10397019,0.11660564,0.0002366862026974,0.205736,0.00751743
random,in,5.8e-05,8.169305,0.12946819,0.13012812,0.0003311203909106,0.485535,0.00426203
random,in,6.4e-05,8.44525,0.25848865,0.25308689,7.667235331609845e-05,0.73135,0.00333511
random,in,7.1e-05,7.433287,0.29348973,0.27966639,0.0001753075484884,0.851764,0.00838065
random,in,0.000101,9.421427,0.21386391,0.21203856,4.267750773578882e-05,0.610036,0.00172884
random,in,0.00021,9.226941,0.25664112,0.23594227,0.000157598478836,0.950407,0.01413574
random,in,6.4e-05,9.907658,0.15914862,0.15463434,8.880413952283561e-05,0.684045,0.00304884
random,in,4.7e-05,10.085691,0.23479666,0.23322043,4.3744195863837376e-05,0.594183,0.0016948
random,in,1.6e-05,9.5667,0.34613319,0.33771154,0.0001234537921845,0.775762,0.00502787
random,in,0.000116,7.961461,0.23102073,0.24004778,0.0001634449581615,0.240066,0.0054299
random,in,1e-05,9.415673,0.33048614,0.34086293,0.0002074351068586,0.235615,0.0062258
random,in,0.000575,10.698247,0.09876674,0.11212692,0.0003536708245519,0.238723,0.00802981
random,in,0.000116,8.545189,0.17270767,0.16608752,0.0004780991584993,0.618966,0.00590343
random,in,0.000741,11.3655,0.16548202,0.16414639,0.0003422670997679,0.528776,0.00436192
random,in,5.9e-05,5.306358,0.44835319,0.44618306,0.0001604752324055,0.56801,0.00310837
random,in,0.000207,7.07859,0.28119424,0.28557914,0.0002727647661231,0.395312,0.00432135
random,in,5e-05,9.851537,0.22814979,0.22869754,4.102921229787171e-05,0.465926,0.00151559
random,in,2e-06,10.050224,0.21982301,0.21906348,6.691917224088684e-05,0.536988,0.00193984
random,in,9.4e-05,9.481693,0.23759381,0.23386411,5.376601984607987e-05,0.694502,0.00245451
random,in,8e-06,9.7334,0.18824326,0.18818805,4.7069566790014505e-05,0.50321,0.00160349
random,in,0.0002,5.413097,0.11257042,0.1032117,0.0010213543428108,0.615177,0.00855416
random,in,6.8e-05,9.170864,0.28118839,0.28579396,9.85826554824598e-05,0.321375,0.00315764
random,in,8.3e-05,8.829656,0.19654991,0.19605194,9.48697779676877e-05,0.520387,0.00228637
random,in,0.0001,7.690479,0.31523019,0.318647,0.0001893643056973,0.401952,0.0035526
random,in,1e-05,9.040226,0.24842521,0.23658177,0.0006518986192531,0.678626,0.00811998
random,in,8.8e-05,11.316132,0.14303231,0.13648379,0.0003725573187693,0.632797,0.00538865
random,in,3.9e-05,7.705319,0.11740444,0.10919194,0.000225525611313,0.707763,0.00525786
random,in,2.8e-05,9.416615,0.21090269,0.20833042,5.144625902175903e-05,0.640062,0.00204032
random,in,0.000338,5.352277,0.25875079,0.25935167,0.0001315440313192,0.479109,0.00269287
random,in,0.000341,8.528413,0.22350266,0.19704096,0.0003291571047157,0.927653,0.01739384
random,in,0.000368,7.672966,0.29463904,0.29269522,0.0002174396067857,0.552437,0.0035481
random,in,7e-05,8.330318,0.24647449,0.24846256,0.0001775911950971,0.440704,0.0032324
random,in,6.8e-05,8.801356,0.27148233,0.27283886,0.0001379597088089,0.454027,0.00280733
random,in,1.9e-05,9.57979,0.19639028,0.19911978,5.121203139424324e-05,0.351448,0.00208275
random,in,1.5e-05,9.068839,0.33363151,0.33290222,0.0001252022630069,0.525983,0.00263386
random,in,0.000355,10.451576,0.21523617,0.19982873,0.0006490153609775,0.72734,0.0095617
random,in,1.4e-05,9.991859,0.27515991,0.26966387,4.831248224945739e-05,0.785445,0.00327309
random,in,2.3e-05,9.175719,0.3192856,0.31894186,0.0001015693123918,0.513604,0.00235989
random,in,3.3e-05,9.953627,0.21517551,0.21148185,4.382093175081536e-05,0.71157,0.00234852
random,in,0.001075,5.443996,0.22898338,0.22821662,0.0001860802440205,0.522413,0.00320505
random,in,4.3e-05,8.068589,0.1955651,0.20141654,0.0002640804450493,0.359395,0.00462926
random,in,5e-05,9.703053,0.24871708,0.24698353,3.582431600079872e-05,0.613951,0.00159766
random,in,3.8e-05,9.460169,0.34893799,0.35429591,0.0001807849330361,0.345135,0.00398285
random,in,3.1e-05,9.636454,0.3484139,0.33474061,9.5852512458805e-05,0.918733,0.00887302
random,in,5.9e-05,8.288844,0.22746589,0.22909555,8.594856626586989e-05,0.430232,0.00228054
random,in,3e-05,9.99439,0.3392641,0.33753127,7.902584911789745e-05,0.577275,0.00221179
random,in,0.000278,8.148172,0.22192936,0.21957591,7.487895345548168e-05,0.607178,0.00227601
random,in,2e-05,9.957545,0.16055715,0.16273294,0.0001305861514993,0.424498,0.00283531
random,in,9.4e-05,9.301435,0.26230281,0.25109071,0.0002774543827399,0.749564,0.00679476
random,in,4.7e-05,9.966981,0.20624284,0.20404163,5.058588794781826e-05,0.621526,0.00193176
random,in,0.000212,11.658654,0.15517228,0.15575968,0.000240622262936,0.484897,0.00363395
random,in,4.6e-05,11.439821,0.25124974,0.23655352,0.0002528342010919,0.822321,0.00877959
random,in,0.0001,10.159163,0.21342449,0.21467943,5.143070666235872e-05,0.430544,0.00176333
random,in,2.3e-05,9.17239,0.25191718,0.24900599,4.888380863121711e-05,0.661433,0.00211064
random,in,9e-06,9.200312,0.23028536,0.2326833,0.0002728812978602,0.442292,0.00399906
random,in,0.000412,8.004851,0.27444944,0.28453141,0.0003579854092095,0.297065,0.00651555
random,in,0.000104,8.082895,0.20977071,0.21557085,8.26058239908889e-05,0.261683,0.00355252
random,in,0.000326,4.885996,0.2555855,0.26094067,0.0001575100031914,0.3348,0.00383095
random,in,6e-05,9.907079,0.34342938,0.33195248,7.085782999638468e-05,0.913625,0.00739648
random,in,0.000155,10.321564,0.14455919,0.16023116,0.0002207644865848,0.145765,0.00951734
random,in,0.000116,8.404401,0.16566828,0.18371296,0.0002295445883646,0.116825,0.01122836
random,in,0.000138,5.034369,0.20911406,0.20911252,0.0001667169417487,0.500048,0.00301744
random,in,0.00036,6.826476,0.25109829,0.25396332,0.0001424843794666,0.405158,0.00306257
random,in,0.000248,7.812912,0.21964565,0.20600489,0.0002501777489669,0.805769,0.00811889
random,in,2e-06,10.133364,0.22461865,0.2285932,3.849963468383066e-05,0.260904,0.00243236
random,in,1.2e-05,10.121533,0.29315769,0.28857157,5.580783181358129e-05,0.730359,0.00283501
random,in,6e-06,9.283793,0.36533366,0.36285186,7.78811881900765e-05,0.61073,0.00233898
random,in,6.2e-05,8.126594,0.20107643,0.19018061,0.0001850564149208,0.788421,0.00648583
random,in,5.3e-05,8.980281,0.25406289,0.25266382,4.11353466915898e-05,0.586339,0.00162012
random,in,1.8e-05,9.840451,0.1696002,0.16674784,5.267623419058509e-05,0.652842,0.00213766
random,in,8.7e-05,5.654487,0.37818506,0.38156599,0.0001856353483162,0.402011,0.00351704
random,in,0.000105,9.007209,0.19438582,0.21222064,0.0002270233089802,0.11827,0.01108202
random,in,0.000231,6.740988,0.22715067,0.22387898,0.0002097896358463,0.589353,0.00367844
random,in,0.000634,5.999836,0.0507428,0.11925077,0.0057009602896869,0.182115,0.04087229
random,in,2.1e-05,9.144498,0.20811919,0.23064092,0.0003163173678331,0.102701,0.01422641
random,in,0.000331,8.564239,0.29353446,0.30802423,0.0001823392231017,0.141624,0.00882541
random,in,0.000187,4.753238,0.23628041,0.23372316,0.0001308378850808,0.588453,0.00290024
random,in,0.000252,11.569129,0.26235535,0.25241706,0.0002646680222824,0.729363,0.00615134
random,in,0.000118,5.859522,0.21280814,0.20406096,0.0002305614907527,0.717716,0.00550494
random,in,0.000183,10.888261,0.16437708,0.14994393,0.0002853717887774,0.803555,0.0085886
random,in,0.000195,5.52561,0.17476273,0.18470761,0.0003336770460009,0.293075,0.00637702
random,in,0.00016,7.277816,0.27712357,0.26557451,0.000190357939573,0.798723,0.00687066
random,in,2.6e-05,10.177925,0.17686378,0.18635495,0.0002391052694292,0.269675,0.00586743
random,in,1.3e-05,9.657842,0.23893217,0.23176172,4.0243099647341296e-05,0.870829,0.00441106
random,in,6e-06,10.011811,0.12700646,0.14497194,0.0002701702760532,0.137197,0.01097915
random,in,9.9e-05,8.010074,0.2713578,0.27090806,0.0001592517219251,0.514215,0.00295551
random,in,9e-06,9.933385,0.34660854,0.34333029,6.879003194626421e-05,0.653673,0.00244856
random,in,1.5e-05,9.365744,0.21042755,0.20645323,9.781289554666728e-05,0.656103,0.00293996
random,in,3.1e-05,7.402712,0.13004643,0.11921328,0.000378160359105,0.711263,0.00689171
random,in,0.000204,11.477689,0.2716012,0.28153673,0.000221701018745,0.252297,0.00603059
random,in,0.000115,9.634034,0.17082333,0.18779412,0.0003324566059745,0.175991,0.01014423
random,in,1.9e-05,6.042497,0.1637928,0.11391834,0.0002500320551916,0.999195,0.04096021
random,in,2.5e-05,9.547338,0.19929288,0.19575484,7.402506889775395e-05,0.659544,0.00258304
random,in,0.000117,6.510207,0.2164448,0.23517565,0.0004656701057683,0.192698,0.01115063
random,in,2.2e-05,6.583224,0.2702692,0.27232319,0.0001476416364312,0.432882,0.00297777
random,in,4e-05,9.056441,0.26959389,0.2671999,0.0001195289078168,0.586664,0.00276327
random,in,0.000159,8.261554,0.33261797,0.33339798,0.0001644538715481,0.47575,0.00301582
random,in,6e-06,9.484331,0.22781966,0.23040156,0.0002106817555613,0.429409,0.00357479
random,in,4e-06,8.78367,0.07417042,0.07141809,0.0003163593937642,0.561488,0.00432619
random,in,8.7e-05,5.594139,0.28569279,0.28521767,0.0001002504286589,0.518924,0.00234887
random,in,0.000554,7.743526,0.18696533,0.18606767,0.0001206772431032,0.532563,0.00259646
random,in,1.5e-05,9.474138,0.1774281,0.17856856,5.459108069771901e-05,0.438665,0.00179676
random,in,7e-05,9.862525,0.16105295,0.16111684,8.100568084046245e-05,0.497168,0.00210351
random,in,0.000165,5.888727,0.18753337,0.19582242,0.0004300258005969,0.344681,0.00615065
random,in,6.2e-05,7.63722,0.2460964,0.25125617,0.0001457683247281,0.334557,0.00368807
random,in,0.000848,4.279229,0.2086252,0.26357657,0.0002957749238703,0.000699,0.04525486
random,in,0.000399,4.221877,0.30691182,0.29270029,0.0001389884710079,0.885986,0.00886819
random,in,9.3e-05,7.866412,0.24283126,0.25936595,0.0003261416859459,0.179945,0.00987085
random,in,3e-06,8.86111,0.30585797,0.2991285,0.0001525923580629,0.707045,0.0043142
random,in,0.000161,7.863576,0.20222485,0.19430044,0.0001632806379348,0.732422,0.00488623
random,in,0.000636,5.607461,0.2122489,0.21608365,0.0003211201110389,0.415276,0.00451391
random,in,2e-05,7.905467,0.15307284,0.15022817,0.000129744206788,0.598606,0.00294387
random,in,6e-06,9.803288,0.34239826,0.33482841,0.0001170485847978,0.757939,0.00455917
random,in,8.3e-05,9.918713,0.28074134,0.2797969,4.1840903577394783e-05,0.558042,0.00156656
random,in,7.1e-05,9.174652,0.20556147,0.20270424,0.0001058243506122,0.609397,0.00271862
random,in,2.1e-05,9.525019,0.23386409,0.23345968,7.355063280556351e-05,0.518805,0.00201181
random,in,2.9e-05,9.740905,0.32325768,0.3359229,0.0001143181434599,0.118097,0.00787112
random,in,2.6e-05,9.706829,0.34603476,0.34112391,5.157857231097296e-05,0.752946,0.00296814
random,in,5.2e-05,10.174742,0.25454132,0.25569856,4.924773747916333e-05,0.43451,0.00171595
random,in,5.4e-05,9.929865,0.29655485,0.2954154,5.094688094686717e-05,0.563417,0.00174046
random,in,3.7e-05,9.731078,0.20209249,0.18167993,0.0001052564184647,0.976684,0.0148034
random,in,0.001382,5.225726,0.23759721,0.24722001,0.00014985796588,0.215913,0.0057322
random,in,5.2e-05,9.775994,0.18130403,0.17447865,5.4977012041490525e-05,0.821351,0.00407624
random,in,4.2e-05,9.989255,0.25702321,0.26355091,4.388821253087372e-05,0.162228,0.00392511
random,in,1.5e-05,8.969718,0.22601032,0.2181278,9.771915210876614e-05,0.78739,0.00469282
random,in,0.000175,8.316748,0.28692974,0.27810928,0.0001147705042967,0.794841,0.00524758
random,in,8.7e-05,9.792815,0.22184123,0.22323582,5.824104300700128e-05,0.427501,0.00188485
random,in,0.00025,11.020538,0.26231001,0.25919646,0.0002155949478037,0.583966,0.00369379
random,in,0.000109,9.80006,0.17257951,0.16479549,6.196109461598098e-05,0.83864,0.00468263
random,in,2.7e-05,9.598785,0.1261401,0.14999451,0.0002835543709807,0.078298,0.01554441
random,in,0.000291,4.7287,0.19995042,0.20317137,0.0002271960547659,0.415395,0.00379604
random,in,1e-05,8.729283,0.21532418,0.22526176,6.179831689223647e-05,0.103091,0.00627454
random,in,0.00027,8.203965,0.27659343,0.27367038,0.0001825818617362,0.585633,0.00340904
random,in,0.000219,9.299654,0.18445394,0.18769529,8.484780846629292e-05,0.362461,0.00260303
random,in,5e-05,9.262939,0.23542709,0.24094646,8.365190296899527e-05,0.2731,0.00342728
random,in,7.6e-05,6.116613,0.27327572,0.26255244,0.0001403353671776,0.81732,0.0063966
random,in,2.4e-05,9.539933,0.33668924,0.33813542,6.228940765140578e-05,0.427306,0.00194983
random,in,5.6e-05,9.567656,0.20488598,0.19474743,0.0003498727164696,0.7061,0.00651143
random,in,2.9e-05,6.769456,0.3801645,0.36661059,0.000145567842992,0.869365,0.00832753
random,in,8e-06,9.734288,0.3363109,0.3339805,8.46115144668147e-05,0.6,0.00238392
random,in,8.1e-05,7.453733,0.24928398,0.2372134,0.0001121003588195,0.872868,0.00743872
random,in,5.5e-05,8.562844,0.35606636,0.35676742,0.0003732772311195,0.485527,0.00452522
random,in,0.000343,9.394377,0.39513193,0.40451092,0.0002554990933276,0.278682,0.00587004
random,in,3e-05,9.751202,0.17393612,0.1501662,0.0003640180802904,0.893591,0.01495271
random,in,4e-06,9.099655,0.1122726,0.10480167,0.0002428384905215,0.68418,0.00504388
random,in,3.4e-05,9.564837,0.19405901,0.19716953,4.541029193205759e-05,0.322188,0.00213764
random,in,6.3e-05,9.141639,0.21954897,0.21065941,6.790699262637645e-05,0.859652,0.00541956
random,in,0.000137,9.279951,0.21854921,0.22220175,4.002761852461845e-05,0.281862,0.00229716
random,in,5.5e-05,9.120974,0.18453279,0.18027015,0.0001881634816527,0.622005,0.00372989
random,in,0.000533,5.390537,0.23251342,0.23567292,0.0001440791529603,0.396191,0.00313498
random,in,0.000297,7.791596,0.2921512,0.28904927,0.0003634064341895,0.56463,0.0046559
random,in,7.7e-05,9.862244,0.29754757,0.29837498,4.156439536018297e-05,0.44894,0.00154895
random,in,0.001089,11.228109,0.22102714,0.23297448,0.0004202416748739,0.280013,0.00749248
random,in,2.2e-05,9.101417,0.27231639,0.27210394,0.0001718419371172,0.506465,0.00306485
random,in,7.8e-05,8.688376,0.24202422,0.23607802,7.445338269462809e-05,0.754627,0.00358946
random,in,0.000517,7.12859,0.27209568,0.28651714,0.0004618932143785,0.251102,0.00874454
random,in,0.000228,6.382413,0.26717027,0.26888138,0.00053144863341,0.470416,0.00543805
random,in,0.001758,11.992356,0.25940089,0.24576119,0.0003346641606185,0.772043,0.00815427
random,in,0.000161,5.569615,-0.4318313,-0.26300567,0.003703310387209,0.002767,0.13459294
random,in,1.7e-05,10.961463,0.12017464,0.11888777,0.0004414714931044,0.524419,0.00494165
random,in,3e-06,9.221752,0.22171968,0.22393242,0.0002356572076678,0.442694,0.0037145
random,in,1.3e-05,9.191471,0.22656563,0.22252488,6.70024601276964e-05,0.689222,0.00269291
random,in,0.000184,8.851024,0.24766817,0.25531834,8.453370537608862e-05,0.202687,0.00455112
random,in,2.7e-05,9.99271,0.18033476,0.18018183,0.0001145619389717,0.5057,0.00250219
random,in,0.000376,6.77535,0.30553653,0.2909022,0.0001328575453953,0.897893,0.00925041
random,in,5.4e-05,9.838954,0.22218015,0.21921687,3.623829979915172e-05,0.68873,0.00197726
random,in,0.000195,6.262335,0.11040995,0.12425596,0.0003027852217201,0.213099,0.00824378
random,in,1.2e-05,9.241545,0.24884466,0.25914684,0.0001638397079659,0.210451,0.0061316
random,in,8e-06,10.086987,0.27144237,0.26798806,9.236684127245098e-05,0.64036,0.00273603
random,in,2.9e-05,7.224596,0.22886603,0.22617154,0.0002459585666656,0.568206,0.00384929
random,in,1.4e-05,11.710564,0.22033914,0.21635227,0.0002662423066794,0.596516,0.00419989
random,in,0.000214,5.929959,0.28865721,0.2890152,0.0001090942241717,0.486329,0.0024458
random,in,4.4e-05,8.733654,0.1596645,0.16326219,0.0001989921147469,0.399347,0.00366069
random,in,1.8e-05,8.881666,0.20622744,0.21975768,0.0002648229128681,0.202864,0.0080492
random,in,0.000545,4.348638,0.1774497,0.18477371,0.000295024306979,0.334907,0.00524136
random,in,0.000237,9.087268,0.19582782,0.19298474,5.243585474090651e-05,0.652701,0.00213193
random,in,5.8e-05,9.130644,0.26019828,0.25317907,0.0001369180390611,0.725704,0.00436569
random,in,0.00033,11.072853,0.20744271,0.24757786,0.000254383747233,0.005928,0.03119741
random,in,0.000364,10.453867,0.22385097,0.22516684,0.0002764491364359,0.46846,0.00392711
random,in,0.000169,5.340369,0.19026884,0.1800992,0.0002339704660698,0.746927,0.00617686
random,in,0.000169,6.998725,0.19870228,0.198209,0.0001985146518563,0.513964,0.00329954
random,in,8.7e-05,9.569949,0.29861969,0.30720037,0.000153341301484,0.244175,0.00517538
random,in,0.000724,10.770423,0.15732256,0.16166922,0.0003836433170363,0.412189,0.00496059
random,in,0.000149,9.394691,0.1907538,0.18847016,5.0092843594029546e-05,0.626522,0.00194544
random,in,6.6e-05,10.032771,0.3383893,0.34672892,0.000160370094818,0.255094,0.00507457
random,in,1.8e-05,9.765968,0.24920075,0.2567566,6.317692896118388e-05,0.1709,0.00452522
random,in,3.9e-05,10.063833,0.24387404,0.24097855,4.4299307774053887e-05,0.668231,0.00205017
random,in,6.6e-05,9.651321,0.33946454,0.34024376,7.16406138963066e-05,0.463324,0.00200661
random,in,1.4e-05,9.790714,0.21566997,0.21300094,7.830900722183287e-05,0.618526,0.00238676
random,in,0.000869,7.404876,0.28744159,0.28600788,0.0002605441550258,0.535388,0.00382293
random,in,1.4e-05,4.835642,0.1510599,0.16861179,0.0003060554736293,0.157862,0.01057864
random,in,0.000126,7.823893,0.14884728,0.13669255,0.0003418365377001,0.744541,0.00739851
random,in,0.000128,8.923169,0.20422929,0.2175144,5.452750701806508e-05,0.036001,0.00933028
random,in,3e-06,9.273515,0.22374641,0.22526343,4.414545401232317e-05,0.409698,0.0016903
random,in,5.2e-05,9.865625,0.37630002,0.37133408,9.853702067630364e-05,0.691556,0.00329072
random,in,3.5e-05,9.053599,0.30962429,0.30834797,9.862115985015409e-05,0.551132,0.00238613
random,in,0.000271,4.827586,0.23516606,0.22901252,0.0001934609754243,0.670905,0.00431918
random,in,3.8e-05,7.954238,0.24086746,0.24911673,0.000214181447518,0.28649,0.00522754
random,in,0.000563,11.16681,0.2346552,0.24222675,0.0003988586249761,0.3523,0.00579888
random,in,8.4e-05,8.773278,0.2096743,0.20416701,5.827035420225002e-05,0.764688,0.00330369
random,in,0.000264,9.52221,0.22480117,0.22462341,4.026094393339008e-05,0.511175,0.00148482
random,in,4.2e-05,9.932757,0.23699125,0.2433373,0.0001673630758887,0.311876,0.00424087
random,in,4e-05,9.081731,0.34455494,0.34946984,7.480561907868832e-05,0.284929,0.00310641
random,in,2.6e-05,9.804233,0.20031325,0.19684674,6.718948861816898e-05,0.663817,0.00249187
random,in,6.2e-05,7.682781,0.33607109,0.32168669,0.0001761272142175,0.86079,0.00877704
random,in,6e-06,9.154913,0.18666619,0.183137,5.9991700254613534e-05,0.675678,0.00244072
random,in,3.1e-05,9.53967,0.2295476,0.2293767,3.761734114959836e-05,0.511115,0.00143522
random,in,0.000151,8.661982,0.20262444,0.20104118,8.322727808263153e-05,0.56889,0.00224132
random,in,6e-06,8.698817,0.24131458,0.2434428,4.918513150187209e-05,0.38077,0.00189464
random,in,0.000595,4.41159,0.11110322,0.13454457,0.0007701686699874,0.199146,0.0139465
random,in,8e-05,8.06991,0.27426525,0.27396151,0.0001955321640707,0.508665,0.00327045
