split,region,distance,axis,y_true,y_pred,abs_error
random,in,7e-06,8.756402,0.23818952,0.23548724,0.00270228
random,in,0.000174,9.386243,0.25850002,0.25621276,0.00228726
random,in,0.000158,10.32075,0.23279675,0.2386942,0.00589745
random,in,0.0001,8.782556,0.25629348,0.24617274,0.01012073
random,in,1.6e-05,9.782444,0.37324269,0.38226063,0.00901793
random,in,0.000254,9.000471,0.31030379,0.31742827,0.00712448
random,in,2.5e-05,10.104001,0.23199983,0.23721974,0.00521991
random,in,0.000693,6.109235,0.35413511,0.36202471,0.0078896
random,in,4.7e-05,9.492328,0.36515548,0.35416079,0.01099469
random,in,0.000236,9.192841,0.20029914,0.19904948,0.00124966
random,in,1e-05,9.894459,0.19575396,0.18237735,0.01337661
random,in,8.8e-05,8.98844,0.1223754,0.11354629,0.00882912
random,in,5e-05,10.035694,0.1996153,0.20068941,0.0010741
random,in,0.000277,5.701147,0.21342492,0.22994222,0.0165173
random,in,7.1e-05,10.001512,0.22477345,0.22285664,0.00191682
random,in,8e-05,10.033291,0.23997395,0.21671112,0.02326283
random,in,0.000229,6.526591,0.21761585,0.24869239,0.03107654
random,in,3.4e-05,9.890534,0.32252806,0.31567009,0.00685797
random,in,0.000116,8.585137,0.27545675,0.28981486,0.01435811
random,in,0.00018,10.292124,0.31868102,0.3229586,0.00427758
random,in,4.5e-05,5.879806,0.40197253,0.39670108,0.00527146
random,in,4e-06,9.734457,0.37872986,0.35580634,0.02292352
random,in,2.3e-05,9.203,0.2751799,0.27080159,0.00437832
random,in,4.6e-05,8.5194,0.30620287,0.27479489,0.03140798
random,in,0.000145,8.025474,0.2121332,0.14752207,0.06461112
random,in,4e-06,4.983191,0.2285107,0.23089664,0.00238594
random,in,7.6e-05,8.40369,0.24914555,0.24750898,0.00163656
random,in,1.3e-05,9.927167,0.21364317,0.21515516,0.00151199
random,in,8.1e-05,10.158622,0.25611139,0.25688679,0.0007754
random,in,6e-06,9.3977,0.17458665,0.18850143,0.01391478
random,in,0.000902,6.636816,0.32772513,0.32462484,0.0031003
random,in,4.2e-05,8.453196,0.16421694,0.17125695,0.00704001
random,in,0.000304,10.244186,0.25432137,0.25237073,0.00195064
random,in,1e-05,10.191513,0.2174695,0.22590329,0.0084338
random,in,0.000183,4.647024,0.21949955,0.22990123,0.01040169
random,in,7.5e-05,5.723849,0.22704463,0.22949003,0.0024454
random,in,5e-05,9.674461,0.32999808,0.34442554,0.01442746
random,in,0.000439,7.425668,0.33574915,0.34097301,0.00522386
random,in,2.2e-05,9.614116,0.14370702,0.15195877,0.00825175
random,in,0.000662,7.141867,0.33571754,0.34019166,0.00447412
random,in,0.000228,9.441007,-0.35795141,-0.34422185,0.01372956
random,in,4e-06,9.803418,0.31045202,0.31398542,0.0035334
random,in,0.00024,5.659889,0.44725575,0.44570192,0.00155383
random,in,0.000202,5.560498,0.23263966,0.20756693,0.02507273
random,in,1.4e-05,9.9679,0.33308611,0.33579439,0.00270828
random,in,2.6e-05,10.09009,0.23738933,0.24085944,0.00347011
random,in,1e-05,7.580113,0.1548195,0.17636441,0.02154491
random,in,1.3e-05,7.366827,0.26699849,0.26876254,0.00176405
random,in,0.000221,10.232457,0.23031882,0.21618915,0.01412968
random,in,0.000217,7.786775,0.12886837,0.14084502,0.01197665
random,in,9.9e-05,9.049976,0.29188925,0.29256853,0.00067928
random,in,0.000118,7.722634,0.23963241,0.22721496,0.01241745
random,in,0.001016,5.901546,0.14786188,0.16260271,0.01474083
random,in,4.6e-05,8.835705,0.24153258,0.25097928,0.0094467
random,in,5.3e-05,9.741993,0.11263442,0.10967641,0.00295801
random,in,0.000455,6.874276,0.14981081,0.11744908,0.03236173
random,in,0.000114,6.478244,0.21216577,0.19650545,0.01566032
random,in,8.3e-05,7.347923,0.21046695,0.21318798,0.00272103
random,in,0.000107,8.687423,0.29561714,0.29219173,0.00342541
random,in,2.5e-05,10.011951,0.28550689,0.28492359,0.00058329
random,in,1e-05,9.909305,0.36217601,0.37067207,0.00849606
random,in,0.000162,6.794238,0.47005857,0.45639151,0.01366706
random,in,2.5e-05,9.578867,0.31538023,0.31944576,0.00406553
random,in,8e-06,9.908236,0.19149104,0.185042,0.00644905
random,in,1.3e-05,9.065721,0.29763871,0.29910667,0.00146795
random,in,0.000285,10.299652,0.23684297,0.23728812,0.00044515
random,in,0.000322,6.956381,0.26874859,0.25302228,0.01572631
random,in,4.2e-05,9.454013,0.32636575,0.33121567,0.00484991
random,in,9e-05,8.954057,0.23136211,0.23020875,0.00115337
random,in,3.1e-05,9.661486,0.28408109,0.28565511,0.00157402
random,in,3.9e-05,10.156443,0.23643709,0.20828412,0.02815297
random,in,6e-06,9.707567,0.40363347,0.40381607,0.00018259
random,in,7e-06,9.153536,0.21327463,0.21840704,0.00513241
random,in,0.000103,9.090332,0.18890172,0.19453085,0.00562913
random,in,6.1e-05,7.547918,0.29465869,0.30654951,0.01189082
random,in,0.000345,7.307649,0.2007957,0.17239529,0.02840041
random,in,4.1e-05,10.278253,0.25915694,0.25376515,0.00539179
random,in,7.1e-05,9.221752,0.22171968,0.23151231,0.00979263
random,in,0.000199,5.957196,0.25104704,0.24152916,0.00951788
random,in,0.000115,9.29385,0.29063294,0.30077858,0.01014564
random,in,6.9e-05,7.436097,0.29922543,0.29927424,4.881e-05
random,in,0.000538,6.927721,0.30345681,0.30611392,0.00265711
random,in,9.9e-05,9.880784,0.29348917,0.29241576,0.00107341
random,in,0.000716,11.50739,0.2852821,0.26358866,0.02169344
random,in,5e-05,9.977667,0.34907989,0.35438072,0.00530084
random,in,0.000282,4.56118,0.1930159,0.20451129,0.01149539
random,in,0.000108,8.351799,0.26630948,0.25902889,0.00728059
random,in,3.4e-05,9.418432,0.39088844,0.39070427,0.00018417
random,in,0.000438,5.973378,0.24205222,0.21997736,0.02207486
random,in,4.4e-05,10.111183,0.30173396,0.30495307,0.00321912
random,in,0.001396,11.463154,0.17979074,0.16578456,0.01400617
random,in,0.000134,5.602632,0.16260627,0.18377193,0.02116566
random,in,3.8e-05,9.171694,0.29008759,0.29211346,0.00202587
random,in,0.000163,8.723769,0.21251125,0.2170013,0.00449005
random,in,0.000183,6.189168,0.09547419,0.1085987,0.01312451
random,in,4.1e-05,8.659429,0.19518727,0.17987091,0.01531635
random,in,7e-06,9.291531,0.22991291,0.23071496,0.00080205
random,in,0.0001,9.508477,0.40251794,0.40134684,0.00117111
random,in,4e-06,9.212448,0.20665562,0.21572554,0.00906992
random,in,0.000418,6.863795,0.1372395,0.12834364,0.00889586
random,in,9.1e-05,5.604471,0.23941479,0.25928334,0.01986855
random,in,1e-05,7.909932,0.11107864,0.1255574,0.01447876
random,in,2.1e-05,10.18711,0.19896325,0.20198303,0.00301977
random,in,7.5e-05,8.984681,0.27261153,0.27125357,0.00135796
random,in,0.00025,7.361272,0.21363437,0.18876563,0.02486874
random,in,0.000118,10.212545,0.21131062,0.2333249,0.02201428
random,in,8e-05,9.598581,0.17351272,0.1802378,0.00672508
random,in,0.00035,7.060805,0.2970871,0.31440879,0.01732168
random,in,1.9e-05,10.047755,0.20407277,0.19805241,0.00602035
random,in,0.000391,4.668723,0.11302648,0.11733552,0.00430904
random,in,0.000429,10.253664,0.29343681,0.29159041,0.0018464
random,in,8.9e-05,7.447623,0.21944466,0.20321431,0.01623035
random,in,2.7e-05,9.504388,0.20029277,0.20581284,0.00552007
random,in,0.001241,4.293531,0.16143226,0.16106769,0.00036457
random,in,0.000129,8.730271,0.19031895,0.18577934,0.00453961
random,in,1e-06,10.125525,0.30253144,0.31778469,0.01525325
random,in,2e-06,9.705917,0.14338999,0.11975087,0.02363912
random,in,0.002484,4.959402,0.12770065,0.13927967,0.01157901
random,in,0.000233,8.131754,0.2206315,0.22568909,0.00505759
random,in,4.6e-05,7.651637,0.32163771,0.30759226,0.01404545
random,in,1.6e-05,10.147931,0.20810017,0.2030508,0.00504936
random,in,3e-05,9.547338,0.19929288,0.1891786,0.01011428
random,in,0.000273,6.215544,0.22179646,0.21893315,0.00286332
random,in,1.5e-05,9.783707,0.23155851,0.23207991,0.0005214
random,in,9.5e-05,7.429894,0.06960642,0.08240839,0.01280197
random,in,1.4e-05,10.095427,0.24658491,0.2450249,0.00156001
random,in,6.4e-05,9.173348,0.28217724,0.27413839,0.00803885
random,in,3.3e-05,7.545383,0.17128394,0.17558583,0.00430189
random,in,8e-05,10.145148,0.17416393,0.17566631,0.00150238
random,in,8.6e-05,9.839112,0.21409809,0.21520512,0.00110703
random,in,0.000102,12.032324,0.21955156,0.19848076,0.0210708
random,in,0.001438,4.670417,0.2441875,0.24141228,0.00277522
random,in,2.4e-05,10.828415,0.2424864,0.23471759,0.00776881
random,in,3.8e-05,9.016958,0.29790536,0.2961649,0.00174046
random,in,8e-06,6.894556,0.31593289,0.3218383,0.00590541
random,in,0.002242,11.221424,0.1315184,0.14804618,0.01652778
random,in,0.000295,5.771995,0.12510068,0.17546194,0.05036126
random,in,2.6e-05,9.046421,0.24528227,0.24537431,9.204e-05
random,in,0.001147,10.554674,0.13411693,0.12565452,0.0084624
random,in,4.4e-05,8.174817,0.18376147,0.18729628,0.00353481
random,in,0.000971,11.211791,0.22593619,0.23967482,0.01373863
random,in,1.7e-05,10.001424,0.2615113,0.25903997,0.00247133
random,in,0.00017,7.8173,0.21790222,0.20896824,0.00893398
random,in,0.0001,6.971156,0.27633635,0.27131598,0.00502037
random,in,0.000786,6.164087,0.40889343,0.41010618,0.00121275
random,in,2.6e-05,9.343331,0.25522946,0.26612115,0.0108917
random,in,2.3e-05,9.713646,0.20090812,0.20879527,0.00788715
random,in,8.9e-05,9.329002,0.18638558,0.18971172,0.00332614
random,in,4.1e-05,9.748436,0.25005845,0.26171762,0.01165917
random,in,0.000119,8.73148,0.41001949,0.41352563,0.00350614
random,in,1e-05,9.459836,0.35724379,0.3601211,0.00287731
random,in,5.2e-05,9.881166,0.22136496,0.23024944,0.00888448
random,in,6.7e-05,7.405224,0.23077787,0.23265123,0.00187336
random,in,2.9e-05,9.666164,0.35191842,0.36155647,0.00963806
random,in,7.8e-05,9.518625,0.24152614,0.2386683,0.00285784
random,in,1.3e-05,9.50661,0.22128474,0.21993029,0.00135445
random,in,3.7e-05,9.953188,0.20546594,0.22539613,0.0199302
random,in,0.0003,4.523942,0.17394502,0.16607013,0.00787489
random,in,3e-05,9.123206,0.19512111,0.19752043,0.00239932
random,in,7.2e-05,9.677621,0.30802959,0.32054945,0.01251986
random,in,0.000219,8.037135,0.20335625,0.19787439,0.00548186
random,in,4.8e-05,7.882156,0.11175787,0.09280115,0.01895673
random,in,0.000143,8.845879,0.23733444,0.23889264,0.00155819
random,in,2.2e-05,9.351293,0.23051695,0.23215477,0.00163782
random,in,0.000229,5.618233,0.15168183,0.18308564,0.03140381
random,in,0.000131,9.640486,0.42363934,0.42589477,0.00225542
random,in,3.7e-05,9.847843,0.19381849,0.20050182,0.00668332
random,in,5.3e-05,9.764289,0.305381,0.27355035,0.03183065
random,in,4.2e-05,9.798169,0.27035263,0.27779056,0.00743793
random,in,5.9e-05,9.768847,0.21739465,0.21732311,7.154e-05
random,in,0.000126,9.29836,0.2028016,0.20268809,0.00011351
random,in,2.6e-05,9.470587,0.20479339,0.20805683,0.00326345
random,in,0.000167,7.628096,0.22148738,0.19821798,0.02326939
random,in,3e-06,9.528495,0.22364844,0.22240697,0.00124147
random,in,9.3e-05,10.699425,0.17126939,0.15940789,0.01186151
random,in,4.6e-05,9.888472,0.29529352,0.28910768,0.00618585
random,in,2.3e-05,8.976114,0.29313707,0.27805814,0.01507893
random,in,2.3e-05,10.117304,0.26878665,0.26231187,0.00647478
random,in,0.000109,9.65189,0.22636309,0.22972432,0.00336123
random,in,3e-05,9.188203,0.21834417,0.22168506,0.00334089
random,in,0.000315,8.517104,0.24909334,0.24806028,0.00103306
random,in,7.7e-05,9.891513,0.24854314,0.27269235,0.02414921
random,in,9.2e-05,9.941626,0.1941543,0.19814686,0.00399256
random,in,0.000299,7.618993,0.32503051,0.32167064,0.00335986
random,in,0.000134,8.243398,0.31750377,0.31197263,0.00553114
random,in,3.8e-05,8.858987,0.17415181,0.18102016,0.00686835
random,in,7e-05,9.862525,0.16105295,0.15987344,0.00117951
random,in,1.9e-05,8.801857,0.20276665,0.20031688,0.00244976
random,in,1.8e-05,10.021515,0.20634982,0.21111106,0.00476124
random,in,0.000285,11.590847,0.16956866,0.17582832,0.00625966
random,in,3.8e-05,9.674605,0.30429984,0.30804304,0.0037432
random,in,1e-06,9.488225,0.25095344,0.25347654,0.0025231
random,in,4.9e-05,8.96142,0.23683353,0.23543701,0.00139652
random,in,0.00022,5.754932,0.2214147,0.22287719,0.00146249
random,in,2.4e-05,8.274515,0.34635375,0.35709768,0.01074393
random,in,9.8e-05,9.302308,0.20702206,0.21363811,0.00661605
random,in,0.000197,8.623237,0.29201436,0.27826418,0.01375018
random,in,0.000165,9.362771,0.19674045,0.2005107,0.00377025
random,in,4.8e-05,7.613902,0.2382748,0.24073976,0.00246496
random,in,8e-06,9.125796,0.32781309,0.33686798,0.00905489
random,in,0.000619,5.283622,0.23380735,0.24363351,0.00982616
random,in,6.2e-05,9.558402,0.18638241,0.19405784,0.00767543
random,in,0.0,9.423813,-0.38143892,-0.38716502,0.0057261
random,in,0.000258,7.032004,0.14580171,0.15619513,0.01039341
random,in,8e-06,9.975456,0.25382555,0.28198458,0.02815904
random,in,8.8e-05,7.150795,0.25270788,0.26275172,0.01004383
random,in,0.00059,7.492374,0.29173749,0.29113614,0.00060135
random,in,1.8e-05,7.588024,0.27701987,0.28913936,0.01211949
random,in,0.000227,9.285446,0.22009146,0.22186557,0.00177411
random,in,6.7e-05,10.118112,0.30542867,0.30582181,0.00039314
random,in,1.4e-05,9.648534,0.22049418,0.2182077,0.00228648
random,in,4.7e-05,9.355115,0.36972899,0.36899842,0.00073057
random,in,2.1e-05,7.792772,0.26489637,0.26296607,0.00193029
random,in,3.1e-05,8.156929,0.12447687,0.17162659,0.04714972
random,in,6e-06,8.641853,0.14645359,0.12296523,0.02348836
random,in,6.7e-05,8.133582,0.34971612,0.36156648,0.01185036
random,in,0.000115,8.699298,0.23994365,0.24503758,0.00509393
random,in,9.4e-05,9.337352,0.18782523,0.1861991,0.00162613
random,in,8.4e-05,9.160958,0.29865268,0.28252867,0.01612401
random,in,0.001008,11.171958,0.2512183,0.25994321,0.00872491
random,in,2e-05,9.782626,0.24679291,0.24827997,0.00148706
random,in,5.4e-05,9.919111,0.21090397,0.2066329,0.00427107
random,in,0.000736,10.807782,0.20331662,0.16928986,0.03402676
random,in,0.000289,6.986011,0.10948168,0.08927283,0.02020885
random,in,6.7e-05,7.465925,0.10131701,0.08746284,0.01385417
random,in,3.9e-05,9.48852,0.3216663,0.33031979,0.00865349
random,in,4.5e-05,9.641116,0.15652914,0.13616959,0.02035955
random,in,0.000745,10.775173,0.2847018,0.27978345,0.00491834
random,in,7.7e-05,9.917965,-0.19086288,-0.05296635,0.13789654
random,in,0.000105,8.743676,0.1925789,0.19766325,0.00508435
random,in,4.6e-05,6.60073,0.22560663,0.2307873,0.00518067
random,in,7.1e-05,6.408008,0.2450821,0.22295154,0.02213055
random,in,8e-06,9.853465,0.24662809,0.24596931,0.00065878
random,in,4e-06,8.858835,0.2844748,0.24035473,0.04412007
random,in,1.2e-05,9.398876,0.26346733,0.26125146,0.00221587
random,in,1.8e-05,8.802613,0.37025749,0.37629862,0.00604113
random,in,0.000614,11.952598,0.22233654,0.21743342,0.00490313
random,in,5.2e-05,8.38493,0.30465038,0.3242569,0.01960651
random,in,4e-06,7.762213,0.2189441,0.2209772,0.00203311
random,in,2e-06,9.99739,0.24385806,0.24512474,0.00126668
random,in,3.9e-05,9.185775,0.24312701,0.26604483,0.02291783
random,in,8.6e-05,9.667595,0.23223126,0.23799948,0.00576822
random,in,0.000336,4.930368,0.14622087,0.14698136,0.00076049
random,in,0.0001,8.579876,0.25359595,0.23583144,0.01776451
random,in,6.7e-05,4.469428,0.12253813,0.15174738,0.02920925
random,in,0.000234,5.271071,0.11668959,0.13593256,0.01924297
random,in,3.2e-05,9.933442,0.1880101,0.17952754,0.00848255
random,in,0.000139,7.775785,0.31617772,0.30769301,0.00848471
random,in,2.3e-05,9.985444,0.2733092,0.27686081,0.00355161
random,in,9.6e-05,9.484331,0.22781966,0.23417448,0.00635482
random,in,0.000158,7.473446,0.27732067,0.26705123,0.01026944
random,in,4e-05,8.812093,0.20187084,0.23738897,0.03551813
random,in,3e-06,9.741007,0.35647509,0.35527251,0.00120259
random,in,4.5e-05,10.300182,0.20556118,0.19856047,0.00700071
random,in,3.8e-05,9.672377,0.22827321,0.22978523,0.00151202
random,in,5e-06,10.117098,0.20895632,0.19812945,0.01082686
random,in,9.1e-05,9.67765,0.24303764,0.24129936,0.00173829
random,in,4e-06,9.792675,0.27181782,0.27353223,0.00171441
random,in,9.1e-05,8.325224,0.23857726,0.21703303,0.02154423
random,in,0.001743,10.53938,0.20666104,0.21015083,0.00348979
random,in,0.000154,5.405145,0.15586447,0.13239989,0.02346458
random,in,7.4e-05,9.479786,0.35972665,0.35353729,0.00618936
random,in,0.000213,8.678628,0.19510395,0.18895946,0.00614448
random,in,0.000145,7.248846,0.3161577,0.31752983,0.00137213
random,in,2e-06,8.783382,0.31658799,0.30026539,0.0163226
random,in,4.1e-05,9.389968,0.33252723,0.33493229,0.00240506
random,in,8e-06,8.972504,0.24264939,0.24292606,0.00027667
random,in,9e-06,10.263199,0.23801475,0.23540502,0.00260974
random,in,5.1e-05,8.041539,0.20535889,0.19319173,0.01216716
random,in,7.6e-05,5.951452,0.34012159,0.34121354,0.00109195
random,in,3.6e-05,9.174304,0.28342177,0.27750237,0.0059194
random,in,2.2e-05,9.914206,0.25394031,0.25206162,0.00187869
random,in,7e-05,4.796491,0.10096712,0.16200666,0.06103954
random,in,3.4e-05,9.057345,0.25663706,0.25725258,0.00061552
random,in,0.000181,5.814272,0.20964732,0.20256579,0.00708153
random,in,5.8e-05,9.941571,0.31810487,0.30899492,0.00910995
random,in,0.000385,6.993191,0.20356462,0.19519767,0.00836696
random,in,0.000144,11.512848,0.15703929,0.15446928,0.00257001
random,in,8.8e-05,6.476658,0.19752812,0.21741152,0.0198834
random,in,0.000553,10.771593,0.2373579,0.23870599,0.00134809
random,in,0.000264,4.401752,0.28492499,0.27335725,0.01156774
random,in,6e-06,9.536283,0.24124289,0.23861545,0.00262744
random,in,0.000119,10.204657,0.26106094,0.25637604,0.0046849
random,in,1.3e-05,9.563671,0.34855278,0.34413843,0.00441435
random,in,0.000151,5.700725,0.11973772,0.14472406,0.02498634
random,in,0.000208,8.903264,0.18020768,0.18219246,0.00198478
random,in,1e-05,10.036971,0.24992183,0.24823696,0.00168488
random,in,1.7e-05,9.681758,0.27136246,0.27097907,0.00038339
random,in,3.6e-05,9.529095,0.43728574,0.42388969,0.01339605
random,in,2e-05,9.843498,0.16206483,0.16330137,0.00123654
random,in,0.000254,5.338336,0.2380717,0.23837585,0.00030415
random,in,0.000119,9.02766,0.32892474,0.32733065,0.00159409
random,in,6e-06,9.154913,0.18666619,0.18976895,0.00310276
random,in,2e-06,9.254481,0.22729591,0.21524343,0.01205248
random,in,2.7e-05,9.554194,0.28436295,0.29093443,0.00657149
random,in,5.8e-05,9.811621,0.36830304,0.37446587,0.00616283
random,in,0.00076,4.486172,0.26108373,0.26724967,0.00616594
random,in,1.3e-05,9.321764,0.22592548,0.23706907,0.01114359
random,in,0.000196,7.736672,0.26242574,0.2722689,0.00984316
random,in,0.000107,10.000575,0.29235446,0.29095752,0.00139694
random,in,1.1e-05,9.686768,0.32546185,0.34883277,0.02337092
random,in,0.000796,6.220942,0.24597562,0.21180198,0.03417364
random,in,6e-06,9.471188,0.24485061,0.23993605,0.00491456
random,in,9e-06,9.933371,0.32471193,0.30776349,0.01694843
random,in,3e-06,10.14891,0.11064004,0.14329271,0.03265267
random,in,0.000252,11.569537,0.10854387,0.09288924,0.01565464
random,in,0.00011,5.11077,0.24190481,0.23174274,0.01016207
random,in,8.6e-05,8.709278,0.20484564,0.17697806,0.02786758
random,in,6.8e-05,10.029664,0.22792549,0.22718431,0.00074118
random,in,0.000183,11.386406,0.12307472,0.09320647,0.02986825
random,in,2.6e-05,9.177718,0.24113157,0.24387795,0.00274638
random,in,0.000197,4.796923,0.2958563,0.29737853,0.00152223
random,in,0.000495,6.962764,0.23735214,0.22349645,0.0138557
random,in,3.1e-05,8.525614,0.25198323,0.25467877,0.00269554
random,in,0.000122,12.020403,0.17699492,0.22825303,0.05125811
random,in,0.000365,10.733643,0.25232077,0.24607895,0.00624182
random,in,0.00029,4.557703,0.25915328,0.23082673,0.02832655
random,in,0.000207,10.509761,0.24490913,0.24435943,0.00054969
random,in,0.000584,11.545062,0.11292666,0.10699058,0.00593609
random,in,5e-06,9.699519,0.21793804,0.21882806,0.00089002
random,in,4e-06,9.528458,0.127194,0.13087542,0.00368142
random,in,0.000156,9.348076,0.31774978,0.30160213,0.01614765
random,in,5.2e-05,6.910363,0.20932299,0.21122507,0.00190208
random,in,6.3e-05,8.509734,0.18046601,0.16780536,0.01266065
random,in,0.000101,8.216356,0.28940811,0.29583337,0.00642527
random,in,0.000112,5.094829,0.26356226,0.24814378,0.01541848
random,in,0.000514,11.866397,0.11695128,0.14165086,0.02469958
random,in,4.8e-05,9.454953,0.27511095,0.28559643,0.01048547
random,in,1.2e-05,9.881024,0.25001346,0.2540713,0.00405784
random,in,3.6e-05,9.208282,0.28751387,0.28045945,0.00705443
random,in,0.000561,11.064672,0.27946698,0.26217854,0.01728844
random,in,8.3e-05,10.180322,0.17422372,0.173875,0.00034872
random,in,0.000275,8.698031,0.25151418,0.25136044,0.00015375
random,in,3.1e-05,9.323467,0.34340354,0.3398195,0.00358405
random,in,1.6e-05,9.345769,0.32623329,0.33090033,0.00466704
random,in,7e-05,9.718325,0.31431843,0.28997843,0.02434
random,in,4e-05,8.966931,0.30504237,0.31262959,0.00758723
random,in,1.2e-05,9.826761,0.23627727,0.23490403,0.00137324
random,in,3.6e-05,9.194564,0.28949298,0.28667353,0.00281945
random,in,5.7e-05,10.212978,0.20642862,0.20703407,0.00060546
random,in,7e-06,8.837346,0.20605536,0.20377174,0.00228362
random,in,4.3e-05,9.350811,0.36014359,0.35812966,0.00201393
random,in,7.9e-05,6.460423,0.25080144,0.24731237,0.00348906
random,in,0.000102,8.319987,0.32971399,0.32912318,0.00059081
random,in,7.9e-05,9.209727,0.22754695,0.2280284,0.00048145
random,in,0.000115,6.139881,0.26548555,0.27147835,0.0059928
random,in,3.4e-05,8.55275,0.30194084,0.30906067,0.00711983
random,in,0.000153,9.10733,0.30648845,0.31001107,0.00352262
random,in,6e-05,7.833212,0.22768084,0.23503742,0.00735658
random,in,0.000288,7.476771,0.23274866,0.20877921,0.02396945
random,in,1.3e-05,6.998038,0.20104784,0.19783947,0.00320837
random,in,2.8e-05,4.37326,0.24066482,0.22775386,0.01291096
random,in,2e-06,8.283977,0.20079845,0.21126046,0.01046201
random,in,6.4e-05,8.244234,0.17695536,0.17575793,0.00119743
random,in,2e-05,9.883612,0.16340081,0.17558999,0.01218919
random,in,1.5e-05,7.620526,0.3157629,0.31302622,0.00273668
random,in,6e-05,9.518025,0.3743622,0.37225965,0.00210255
random,in,8e-06,10.028785,0.29428581,0.2934605,0.0008253
random,in,4e-06,5.807511,0.260236,0.26002903,0.00020697
random,in,0.000291,7.21242,0.146757,0.14077586,0.00598114
random,in,0.000162,11.401277,0.21859754,0.23407251,0.01547497
random,in,0.00017,7.279567,0.18749602,0.18746173,3.429e-05
random,in,7.3e-05,8.479768,0.2467363,0.24426954,0.00246675
random,in,5e-05,9.010416,0.33254027,0.33185201,0.00068825
random,in,3.9e-05,9.488302,0.21042454,0.20636529,0.00405925
random,in,3e-06,9.033757,0.14354116,0.16211369,0.01857253
random,in,3.8e-05,9.471557,0.40035791,0.40128438,0.00092646
random,in,1.2e-05,9.400754,0.34269128,0.37305758,0.0303663
random,in,1.4e-05,9.2363,0.27047516,0.2492379,0.02123726
random,in,1.1e-05,7.445176,0.1491103,0.13473991,0.01437039
random,in,0.000167,6.505664,0.14442125,0.15188904,0.00746779
random,in,1.9e-05,9.143253,0.30970978,0.31142741,0.00171763
random,in,8e-06,9.715071,0.3351859,0.32371811,0.01146779
